#run,max_H,min_H,a_BL_mean,a_BL_median,a_BL_var,i_BL_mean_i,i_BL_var_i,i_BL_mean_e,i_BL_var_e,colless,sackin,WD_ratio,DeltaW,max_ladder,staircaseness_1,staircaseness_2,max_L,t_max_L,slope_1,slope_2,slope_ratio
753,49.5448,46.007568,47.3061182,47.042358,1.39324811775091,2.80026423529412,17.7059622074757,37.8435262777778,25.3370101914047,168,1182.652955,0.428571428571429,2,44,0.708333333333333,7.421875,26,0,NaN,-0.514988217069594,NaN
754,49.330811,46.004517,47.09652336,46.848267,0.94763614581799,1.43453542857143,1.66224661267853,33.7585295625,2.84895267445359,88,1177.413084,0.727272727272727,4,42,0.625,3.16269841269841,25,29.7795906161616,0.705180949955811,-1.2937154269866,-0.545081967213115
755,49.452515,46.008423,47.17922356,47.189087,1.08558839733525,3.41926575,14.8225748334739,37.2548898823529,24.6825510055728,190,1179.480589,0.352941176470588,2,46,0.75,7.9375,26,0,NaN,-0.515969088498296,NaN
756,49.861816,46.004028,47.53364244,47.637939,1.72222262481842,5.04922763636364,21.4036789010021,33.5846840666667,24.3794276418955,77,1188.341061,0.727272727272727,4,46,0.666666666666667,3.06770833333333,25,18.7550404848485,0.479870998266881,-0.797162751219299,-0.601973684210526
757,49.428711,46.002319,47.4156884,47.244019,1.39847156332242,4.20955882352941,21.0149567805436,31.5369294210526,32.47301120165,108,1185.39221,0.727272727272727,4,47,0.708333333333333,4.65972222222222,25,26.9048394444444,0.483184448167534,-1.11504103423277,-0.433333333333333
758,49.605713,46.001953,47.04806648,46.702637,1.26670120693784,2.98660714285714,14.7398732590244,29.9383138888889,19.7801160976628,55,1176.201662,1.25,4,46,0.625,2.55902777777778,25,24.0573731010101,0.956047857071905,-0.977662852101357,-0.977891156462585
759,49.814941,46.002808,47.25068352,47.020264,1.42964496221159,1.42707171428571,4.84026799736335,23.6111987647059,9.23733389679523,91,1181.267088,0.666666666666667,4,38,0.666666666666667,3.84722222222222,25,12.6923802121212,1.81211085829552,-1.12843930025696,-1.60585585585586
760,49.770508,46.007935,47.16103032,46.629272,1.67223738549364,1.07475011764706,0.916009979360221,30.6905396,3.70542917095418,70,1179.025758,1.11111111111111,4,48,0.75,3.58465909090909,25,19.7052557575758,1.16720129304374,-0.825728254474568,-1.41354166666667
761,49.781128,46.000366,47.33994632,46.99231,1.54126753927931,3.1875,14.1494533526888,33.6974575238095,12.5224241152405,104,1183.498658,1,6,44,0.666666666666667,4.50868055555556,25,18.2313306666667,0.6033569464083,-0.785602592977376,-0.768018018018018
762,49.824219,46.003418,47.73287108,47.481689,1.27089640818349,5.72917175,47.765137635475,29.0869397368421,68.3486066459044,106,1193.321777,0.727272727272727,4,30,0.625,4.33680555555556,25,39.4539143434343,0.278806303076758,-2.56128278424581,-0.108854166666667
763,49.756592,46.00769,47.02581056,46.959595,0.796190499430256,3.60172047058824,14.3616116501908,35.5247938333333,19.8953806401412,164,1175.645264,0.4,2,39,0.708333333333333,7.02083333333333,25,19.2071423030303,0.156191897403014,-0.812197866495673,-0.192307692307692
764,49.049072,46,46.86507804,46.654663,0.754316339159541,4.40101625,54.0058268664609,28.3906432,79.311891116937,58,1171.626951,1.5,8,43,0.583333333333333,2.67311507936508,25,43.1956303838384,0.486160285505571,-4.94494461828524,-0.0983146067415731
765,49.756592,46.005737,47.12203608,46.788696,1.33398974457891,2.957016,10.202014431466,33.033519,14.3208879095166,132,1178.050902,0.461538461538462,4,-Inf,0.583333333333333,4.75694444444444,25,21.6695964444444,0.692214090763358,-0.886034036177098,-0.78125
766,49.773071,46.00769,47.21526848,46.915039,1.21721796873909,4.008946,38.4385867681206,37.7813795625,109.756548181533,138,1180.381712,0.4,2,46,0.708333333333333,5.07638888888889,30,0,NaN,-0.594590404200712,NaN
