RANDOMSEED initial_adult_population_size initial_prop_13_17 initial_prop_18_22 initial_prop_23_30 initial_prop_31_40 initial_prop_41_50 initial_prop_51_60 initial_prop_61_and_older initial_low_risk_male initial_low_risk_female initial_med_not_low_risk_male initial_med_not_low_risk_female initial_prop_HIV_pos_low_risk_male initial_prop_HIV_pos_low_risk_female initial_prop_HIV_pos_med_risk_male initial_prop_HIV_pos_med_risk_female initial_prop_HIV_pos_high_risk_male initial_prop_HIV_pos_high_risk_female log_seed_multiplier n_years_HIV_seeding
1432592132 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.563611399250057 0.538308396264033 0.568323922421424 0.851869732764096 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.39633462901901 5
1464965488 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.407520508836374 0.4613409608536 0.61194268820004 0.664154955045017 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.74052686467541 5
1273561235 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.547388042789006 0.486744357453892 0.50551373844344 0.957269138808861 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.58362535326885 5
1620620083 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.393863601278603 0.304301027571001 0.622652960253934 0.957296427656766 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.73482078668219 5
580321635 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.484707323213022 0.448990056523586 0.594620090989777 0.869725739631898 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.64748435167256 5
1141823995 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.508034913213881 0.48613311287363 0.523982933414204 0.928583290185651 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.43581541512283 5
1716654488 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.591139060175222 0.503284214876399 0.732517439482189 0.742731372997433 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.53079250892537 5
388489513 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.540063064458465 0.487638147396435 0.940560857875805 0.814344070552067 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 0.811396503841033 5
484715356 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.547148811690136 0.574002786407054 0.555457566237811 0.896240073917361 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.87771521494852 5
1121147476 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.363669785215773 0.416570354720955 0.76946774088158 0.833747511077028 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.85885378594922 5
635642331 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.573894147747452 0.576829460019983 0.966825164383998 0.608471568212092 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.50768610657541 5
676388334 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.485895562677711 0.583297139447103 0.954505905159697 0.729075519031544 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.25454651782988 5
2026208850 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.422276334514309 0.539555916108409 0.519164845896667 0.827559435643428 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.52600929317955 5
1010946572 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.444590973484375 0.463910801678622 0.625273945526636 0.661538146755936 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 0.283947202427917 5
301814438 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.426231804367847 0.410897420953657 0.755266122335647 0.65842489965892 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.97258581228554 5
1878121226 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.561893737003121 0.589386733649796 0.860084585402789 0.757168276489681 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.95765052179262 5
754895672 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.536907890753235 0.498231869751252 0.659515109085369 0.741411323868183 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.34463571637856 5
51326277 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.476780104436495 0.543863553839131 0.829774280077303 0.808848453311759 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 0.928559838832304 5
170967290 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.389583922883952 0.573534350086095 0.602079580418886 0.699902669386637 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 0.921337452588937 5
675371429 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.580620070880347 0.52567398061893 0.689807467727402 0.917958940791493 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.89324644871328 5
618133240 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.387088442819732 0.4012438429212 0.820589807961803 0.629730184628903 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.13865731767536 5
790923486 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.576716028925599 0.525744201734314 0.699487411116249 0.853242679311473 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 0.63151838638638 5
244316614 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.564373753427218 0.559270607673229 0.822177462935242 0.841026773969711 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.61585577962579 5
806304819 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.371376336172914 0.320092622083263 0.65911567654958 0.656327698167104 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.78962364502892 5
1942082665 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.508513458973156 0.421355102581439 0.71403613492233 0.565246990964497 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 0.851200138372288 5
1734577238 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.589053512687254 0.318657832913728 0.63141194054636 0.917062795327217 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.49386990112859 5
811714811 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.412171848100883 0.588444041952814 0.651309164203427 0.684770478009311 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.96960789370032 5
720353124 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.571757279904898 0.502911719363383 0.595943154032219 0.877918515113488 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.48224789225771 5
760511329 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.515453939824875 0.57198293812162 0.967315259388494 0.554429770448939 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.93698994539634 5
325640192 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.57720451484003 0.473679636400414 0.541541705859716 0.930687429902111 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.65663327230852 5
1717723446 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.580273852931813 0.548102356735775 0.747484408726828 0.837979917546499 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.7680135480762 5
980051100 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.444364661658633 0.544622430937986 0.65157679996607 0.901187934821848 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.07700159190234 5
1437528829 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.379132906768658 0.480561902873287 0.512172949807002 0.762530888338297 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.83785856802753 5
31779615 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.456076314492362 0.521403690490784 0.621344623721628 0.880504333604327 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.33520742535546 5
1111881308 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.441146262612973 0.588138107902752 0.721259442801685 0.732292313662067 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.52775539659423 5
27440003 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.527229899813332 0.586564716368368 0.903711240922781 0.564817746854922 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 0.98509943990101 5
944345205 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.535918181744314 0.387103107196438 0.619893832099486 0.938143727614887 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 0.45993859323158 5
1300227026 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.510655365846073 0.59844759585845 0.613826682389344 0.820976123983483 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.23909284987165 5
214907870 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.42610939791493 0.565195852774404 0.660983884953164 0.91546898658441 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.87120339329441 5
214907870 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.42610939791493 0.565195852774404 0.660983884953164 0.91546898658441 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.87120339329441 5
1968261357 2050 0.1583 0.1613 0.1885 0.1983 0.1353 0.0828 0.0755 0.573912455991202 0.477490601288449 0.657873918939657 0.627588291453829 2e-05 2e-05 5e-05 5e-05 8e-05 8e-05 1.97365797307864 5
